dataset,condition,macro_f1,aut,kappa_temporal,boundary_acc,within_acc
NF-BoT-IoT-v3,raw X,88.05525636305715,0.8980848697810861,-44.94902912621447,90.22598870056497,96.22829678281845
NF-BoT-IoT-v3,static,86.95841238717158,0.8912438252360485,-72.98300970873919,89.94350282485875,93.90661054862308
NF-BoT-IoT-v3,oracle,88.92808063508124,0.9042559128943386,-25.98300970873838,90.2542372881356,97.79944482377444
NF-BoT-IoT-v3,oracle_shuf,87.92115585812036,0.8967579775453225,-48.492718446602886,90.31073446327683,95.93531964469625
NF-BoT-IoT-v3,recency_W50,92.32736781104055,0.9294733860137531,-2.924757281553642,92.8839239856189,99.69505611997087
NF-BoT-IoT-v3,recency_W250,89.97262492394145,0.9117396819092068,-12.254854368932387,92.9994863893169,98.92388155201584
NF-BoT-IoT-v3,recency_W1000,89.07917755519361,0.9053725178259767,-23.247572815534397,92.88906009244992,98.01648293287631
NF-BoT-IoT-v3,recency_shuf_W50,87.93164689125129,0.8968269880898505,-48.08980582524369,90.59322033898306,95.96663162199079
NF-BoT-IoT-v3,recency_shuf_W250,88.2630536103812,0.9001164709982508,-46.25728155339883,90.28248587570621,96.1209272481793
NF-BoT-IoT-v3,recency_shuf_W1000,88.26315564767675,0.9001277106767774,-46.24757281553467,89.54545454545455,96.12391569250035
NF-BoT-IoT-v3,persistence_W1,82.42925085188014,0.8152184200672994,0.0,0.0,100.0
NF-BoT-IoT-v3,_FULL_PERSISTENCE_%,99.93390145523685,,,,
